datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,ncount,workingday_clean
2011-01-01 00:00:00,1.0,0.0,0.0,1.0,9.84,14.395,81.0,0.0,3.0,13.0,16.0,0.0006771770183049413,0.0
2011-01-01 01:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,8.0,32.0,40.0,0.0016929425457623533,0.0
2011-01-01 02:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,5.0,27.0,32.0,0.0013543540366098825,0.0
2011-01-01 03:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,3.0,10.0,13.0,0.0005502063273727648,0.0
2011-01-01 04:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,0.0,1.0,1.0,4.232356364405883e-05,0.0
2011-01-01 05:00:00,1.0,0.0,0.0,2.0,9.84,12.88,75.0,6.0032,0.0,1.0,1.0,4.232356364405883e-05,0.0
2011-01-01 06:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,2.0,0.0,2.0,8.464712728811766e-05,0.0
2011-01-01 07:00:00,1.0,0.0,0.0,1.0,8.2,12.88,86.0,0.0,1.0,2.0,3.0,0.0001269706909321765,0.0
2011-01-01 08:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,1.0,7.0,8.0,0.00033858850915247064,0.0
2011-01-01 09:00:00,1.0,0.0,0.0,1.0,13.12,17.425,76.0,0.0,8.0,6.0,14.0,0.0005925298910168236,0.0
2011-01-01 10:00:00,1.0,0.0,0.0,1.0,15.58,19.695,76.0,16.9979,12.0,24.0,36.0,0.0015236482911861178,0.0
2011-01-01 11:00:00,1.0,0.0,0.0,1.0,14.76,16.665,81.0,19.0012,26.0,30.0,56.0,0.0023701195640672946,0.0
2011-01-01 12:00:00,1.0,0.0,0.0,1.0,17.22,21.21,77.0,19.0012,29.0,55.0,84.0,0.0035551793461009416,0.0
2011-01-01 13:00:00,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.9995,47.0,47.0,94.0,0.00397841498254153,0.0
2011-01-01 14:00:00,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.0012,35.0,71.0,106.0,0.004486297746270236,0.0
2011-01-01 15:00:00,1.0,0.0,0.0,2.0,18.04,21.97,77.0,19.9995,40.0,70.0,110.0,0.004655592000846471,0.0
2011-01-01 16:00:00,1.0,0.0,0.0,2.0,17.22,21.21,82.0,19.9995,41.0,52.0,93.0,0.0039360914188974715,0.0
2011-01-01 17:00:00,1.0,0.0,0.0,2.0,18.04,21.97,82.0,19.0012,15.0,52.0,67.0,0.0028356787641519417,0.0
2011-01-01 18:00:00,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,9.0,26.0,35.0,0.001481324727542059,0.0
2011-01-01 19:00:00,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,6.0,31.0,37.0,0.0015659718548301767,0.0
2011-01-01 20:00:00,1.0,0.0,0.0,2.0,16.4,20.455,87.0,16.9979,11.0,25.0,36.0,0.0015236482911861178,0.0
2011-01-01 21:00:00,1.0,0.0,0.0,2.0,16.4,20.455,87.0,12.998,3.0,31.0,34.0,0.0014390011638980003,0.0
2011-01-01 22:00:00,1.0,0.0,0.0,2.0,16.4,20.455,94.0,15.0013,11.0,17.0,28.0,0.0011850597820336473,0.0
2011-01-01 23:00:00,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,15.0,24.0,39.0,0.0016506189821182944,0.0
2011-01-02 00:00:00,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,4.0,13.0,17.0,0.0007195005819490001,0.0
2011-01-02 01:00:00,1.0,0.0,0.0,2.0,18.04,21.97,94.0,16.9979,1.0,16.0,17.0,0.0007195005819490001,0.0
2011-01-02 02:00:00,1.0,0.0,0.0,2.0,17.22,21.21,100.0,19.0012,1.0,8.0,9.0,0.00038091207279652945,0.0
2011-01-02 03:00:00,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0,4.0,6.0,0.000253941381864353,0.0
2011-01-02 04:00:00,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0,1.0,3.0,0.0001269706909321765,0.0
2011-01-02 05:00:00,,,,,,,,,,,2.5,0.00010580890911014708,0.0
2011-01-02 06:00:00,1.0,0.0,0.0,3.0,17.22,21.21,77.0,19.9995,0.0,2.0,2.0,8.464712728811766e-05,0.0
2011-01-02 07:00:00,1.0,0.0,0.0,2.0,16.4,20.455,76.0,12.998,0.0,1.0,1.0,4.232356364405883e-05,0.0
2011-01-02 08:00:00,1.0,0.0,0.0,3.0,16.4,20.455,71.0,15.0013,0.0,8.0,8.0,0.00033858850915247064,0.0
2011-01-02 09:00:00,1.0,0.0,0.0,2.0,15.58,19.695,76.0,15.0013,1.0,19.0,20.0,0.0008464712728811766,0.0
2011-01-02 10:00:00,1.0,0.0,0.0,2.0,14.76,17.425,81.0,15.0013,7.0,46.0,53.0,0.002243148873135118,0.0
2011-01-02 11:00:00,1.0,0.0,0.0,2.0,14.76,16.665,71.0,16.9979,16.0,54.0,70.0,0.002962649455084118,0.0
2011-01-02 12:00:00,1.0,0.0,0.0,2.0,14.76,16.665,66.0,19.9995,20.0,73.0,93.0,0.0039360914188974715,0.0
2011-01-02 13:00:00,1.0,0.0,0.0,2.0,14.76,17.425,66.0,8.9981,11.0,64.0,75.0,0.0031742672733044122,0.0
2011-01-02 14:00:00,1.0,0.0,0.0,3.0,14.76,17.425,76.0,12.998,4.0,55.0,59.0,0.0024970902549994707,0.0
2011-01-02 15:00:00,1.0,0.0,0.0,3.0,13.94,16.665,81.0,11.0014,19.0,55.0,74.0,0.0031319437096603534,0.0
2011-01-02 16:00:00,1.0,0.0,0.0,3.0,13.94,16.665,71.0,11.0014,9.0,67.0,76.0,0.003216590836948471,0.0
2011-01-02 17:00:00,1.0,0.0,0.0,1.0,13.94,16.665,57.0,12.998,7.0,58.0,65.0,0.002751031636863824,0.0
2011-01-02 18:00:00,1.0,0.0,0.0,2.0,14.76,16.665,46.0,22.0028,10.0,43.0,53.0,0.002243148873135118,0.0
2011-01-02 19:00:00,1.0,0.0,0.0,1.0,13.12,14.395,42.0,30.0026,1.0,29.0,30.0,0.0012697069093217648,0.0
2011-01-02 20:00:00,1.0,0.0,0.0,1.0,12.3,13.635,39.0,23.9994,5.0,17.0,22.0,0.0009311184001692943,0.0
2011-01-02 21:00:00,1.0,0.0,0.0,1.0,10.66,11.365,44.0,22.0028,11.0,20.0,31.0,0.0013120304729658237,0.0
2011-01-02 22:00:00,1.0,0.0,0.0,1.0,9.84,10.605,44.0,19.9995,0.0,9.0,9.0,0.00038091207279652945,0.0
2011-01-02 23:00:00,1.0,0.0,0.0,1.0,9.02,11.365,47.0,11.0014,0.0,8.0,8.0,0.00033858850915247064,0.0
2011-01-03 00:00:00,1.0,0.0,1.0,1.0,9.02,9.85,44.0,23.9994,0.0,5.0,5.0,0.00021161781822029416,1.0
2011-01-03 01:00:00,1.0,0.0,1.0,1.0,8.2,8.335,44.0,27.9993,0.0,2.0,2.0,8.464712728811766e-05,1.0
2011-01-03 02:00:00,,,,,,,,,,,1.6666666666666667,7.053927274009805e-05,1.0
2011-01-03 03:00:00,,,,,,,,,,,1.3333333333333335,5.643141819207845e-05,1.0
2011-01-03 04:00:00,1.0,0.0,1.0,1.0,6.56,6.82,47.0,26.0027,0.0,1.0,1.0,4.232356364405883e-05,1.0
2011-01-03 05:00:00,1.0,0.0,1.0,1.0,6.56,6.82,47.0,19.0012,0.0,3.0,3.0,0.0001269706909321765,1.0
2011-01-03 06:00:00,1.0,0.0,1.0,1.0,5.74,5.305,50.0,26.0027,0.0,30.0,30.0,0.0012697069093217648,1.0
2011-01-03 07:00:00,1.0,0.0,1.0,1.0,5.74,6.82,50.0,12.998,1.0,63.0,64.0,0.002708708073219765,1.0
2011-01-03 08:00:00,1.0,0.0,1.0,1.0,5.74,6.06,50.0,19.0012,1.0,153.0,154.0,0.00651782880118506,1.0
2011-01-03 09:00:00,1.0,0.0,1.0,1.0,6.56,6.82,43.0,26.0027,7.0,81.0,88.0,0.003724473600677177,1.0
2011-01-03 10:00:00,1.0,0.0,1.0,1.0,7.38,8.335,43.0,16.9979,11.0,33.0,44.0,0.0018622368003385886,1.0
2011-01-03 11:00:00,1.0,0.0,1.0,1.0,8.2,9.09,40.0,22.0028,10.0,41.0,51.0,0.002158501745847,1.0
2011-01-03 12:00:00,1.0,0.0,1.0,1.0,9.02,10.605,35.0,19.9995,13.0,48.0,61.0,0.0025817373822875885,1.0
2011-01-03 13:00:00,1.0,0.0,1.0,1.0,9.84,10.605,35.0,19.0012,8.0,53.0,61.0,0.0025817373822875885,1.0
2011-01-03 14:00:00,1.0,0.0,1.0,1.0,10.66,12.12,30.0,19.0012,11.0,66.0,77.0,0.00325891440059253,1.0
2011-01-03 15:00:00,1.0,0.0,1.0,1.0,10.66,12.12,30.0,16.9979,14.0,58.0,72.0,0.0030472965823722356,1.0
2011-01-03 16:00:00,1.0,0.0,1.0,1.0,10.66,12.12,30.0,16.9979,9.0,67.0,76.0,0.003216590836948471,1.0
2011-01-03 17:00:00,1.0,0.0,1.0,1.0,9.84,11.365,30.0,15.0013,11.0,146.0,157.0,0.0066447994921172366,1.0
2011-01-03 18:00:00,1.0,0.0,1.0,1.0,9.84,12.88,32.0,7.0015,9.0,148.0,157.0,0.0066447994921172366,1.0
2011-01-03 19:00:00,1.0,0.0,1.0,1.0,8.2,12.88,47.0,0.0,8.0,102.0,110.0,0.004655592000846471,1.0
2011-01-03 20:00:00,1.0,0.0,1.0,1.0,8.2,11.365,47.0,7.0015,3.0,49.0,52.0,0.002200825309491059,1.0
2011-01-03 21:00:00,1.0,0.0,1.0,1.0,7.38,9.85,64.0,8.9981,3.0,49.0,52.0,0.002200825309491059,1.0
2011-01-03 22:00:00,1.0,0.0,1.0,1.0,5.74,7.575,69.0,8.9981,0.0,20.0,20.0,0.0008464712728811766,1.0
2011-01-03 23:00:00,1.0,0.0,1.0,1.0,7.38,10.605,55.0,7.0015,1.0,11.0,12.0,0.000507882763728706,1.0
2011-01-04 00:00:00,1.0,0.0,1.0,1.0,6.56,9.09,55.0,7.0015,0.0,5.0,5.0,0.00021161781822029416,1.0
2011-01-04 01:00:00,1.0,0.0,1.0,1.0,6.56,9.09,59.0,7.0015,0.0,2.0,2.0,8.464712728811766e-05,1.0
2011-01-04 02:00:00,1.0,0.0,1.0,1.0,5.74,7.575,63.0,8.9981,0.0,1.0,1.0,4.232356364405883e-05,1.0
2011-01-04 03:00:00,,,,,,,,,,,1.5,6.348534546608825e-05,1.0
2011-01-04 04:00:00,1.0,0.0,1.0,1.0,5.74,9.09,63.0,6.0032,0.0,2.0,2.0,8.464712728811766e-05,1.0
2011-01-04 05:00:00,1.0,0.0,1.0,1.0,4.92,7.575,68.0,7.0015,0.0,4.0,4.0,0.00016929425457623532,1.0
