datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,workingday_clean,ncount_gp
2011-01-01 00:00:00,1.0,0.0,0.0,1.0,9.84,14.395,81.0,0.0,3.0,13.0,16.0,0.0,0.012625491381823102
2011-01-01 01:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,8.0,32.0,40.0,0.0,0.03156372845455776
2011-01-01 02:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,5.0,27.0,32.0,0.0,0.025250982763646204
2011-01-01 03:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,3.0,10.0,13.0,0.0,0.01025821174773127
2011-01-01 04:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,0.0,1.0,1.0,0.0,0.0007890932113639439
2011-01-01 05:00:00,1.0,0.0,0.0,2.0,9.84,12.88,75.0,6.0032,0.0,1.0,1.0,0.0,0.0007890932113639439
2011-01-01 06:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,2.0,0.0,2.0,0.0,0.0015781864227278877
2011-01-01 07:00:00,1.0,0.0,0.0,1.0,8.2,12.88,86.0,0.0,1.0,2.0,3.0,0.0,0.0023672796340918315
2011-01-01 08:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,1.0,7.0,8.0,0.0,0.006312745690911551
2011-01-01 09:00:00,1.0,0.0,0.0,1.0,13.12,17.425,76.0,0.0,8.0,6.0,14.0,0.0,0.011047304959095214
2011-01-01 10:00:00,1.0,0.0,0.0,1.0,15.58,19.695,76.0,16.9979,12.0,24.0,36.0,0.0,0.02840735560910198
2011-01-01 11:00:00,1.0,0.0,0.0,1.0,14.76,16.665,81.0,19.0012,26.0,30.0,56.0,0.0,0.044189219836380855
2011-01-01 12:00:00,1.0,0.0,0.0,1.0,17.22,21.21,77.0,19.0012,29.0,55.0,84.0,0.0,0.06628382975457128
2011-01-01 13:00:00,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.9995,47.0,47.0,94.0,0.0,0.07417476186821073
2011-01-01 14:00:00,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.0012,35.0,71.0,106.0,0.0,0.08364388040457806
2011-01-01 15:00:00,1.0,0.0,0.0,2.0,18.04,21.97,77.0,19.9995,40.0,70.0,110.0,0.0,0.08680025325003382
2011-01-01 16:00:00,1.0,0.0,0.0,2.0,17.22,21.21,82.0,19.9995,41.0,52.0,93.0,0.0,0.07338566865684679
2011-01-01 17:00:00,1.0,0.0,0.0,2.0,18.04,21.97,82.0,19.0012,15.0,52.0,67.0,0.0,0.05286924516138424
2011-01-01 18:00:00,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,9.0,26.0,35.0,0.0,0.027618262397738035
2011-01-01 19:00:00,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,6.0,31.0,37.0,0.0,0.029196448820465924
2011-01-01 20:00:00,1.0,0.0,0.0,2.0,16.4,20.455,87.0,16.9979,11.0,25.0,36.0,0.0,0.02840735560910198
2011-01-01 21:00:00,1.0,0.0,0.0,2.0,16.4,20.455,87.0,12.998,3.0,31.0,34.0,0.0,0.026829169186374093
2011-01-01 22:00:00,1.0,0.0,0.0,2.0,16.4,20.455,94.0,15.0013,11.0,17.0,28.0,0.0,0.022094609918190428
2011-01-01 23:00:00,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,15.0,24.0,39.0,0.0,0.03077463524319381
2011-01-02 00:00:00,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,4.0,13.0,17.0,0.0,0.013397966747039691
2011-01-02 01:00:00,1.0,0.0,0.0,2.0,18.04,21.97,94.0,16.9979,1.0,16.0,17.0,0.0,0.013397966747039691
2011-01-02 02:00:00,1.0,0.0,0.0,2.0,17.22,21.21,100.0,19.0012,1.0,8.0,9.0,0.0,0.007093041219021013
